all_images,title,description,description_more_1,description_more_2,full_name,nick_name,birth,ig_username,ig_link,work
"https://yflix.me/wp-content/uploads/2025/04/3-3.jpg, https://yflix.me/wp-content/uploads/2025/04/1-4.jpg, https://yflix.me/wp-content/uploads/2025/04/2-3.jpg, https://yflix.me/wp-content/uploads/2025/04/3-3.jpg",เคน กันต์ธีร์ ลิมปิติกรานนท์,,,,กันต์ธีร์ ลิมปิติกรานนท์,เคน,25 มิถุนายน 2005,536_.ken,https://www.instagram.com/536_.ken,[]
"https://yflix.me/wp-content/uploads/2025/04/1-3.jpg, https://yflix.me/wp-content/uploads/2025/04/2-2.jpg, https://yflix.me/wp-content/uploads/2025/04/3-2.jpg, https://yflix.me/wp-content/uploads/2025/04/1-3.jpg",แอสตัน รติภัทร เหลืองวรพันธ์,,,,รติภัทร เหลืองวรพันธ์,แอสตัน,12 พฤศจิกายน 2005,aston.lv_,https://www.instagram.com/aston.lv_/,[]
"https://yflix.me/wp-content/uploads/2025/04/1-2.jpg, https://yflix.me/wp-content/uploads/2025/04/2-1.jpg, https://yflix.me/wp-content/uploads/2025/04/3-1.jpg, https://yflix.me/wp-content/uploads/2025/04/1-2.jpg",มิค เมธัส โอภาสเอี่ยมขจร,,,,เมธัส โอภาสเอี่ยมขจร,มิค,17 กุมภาพันธ์ 2006,mickmetas,https://www.instagram.com/mickmetas/?utm_source=ig_embed&amp;ig_rid=7e454edb-130e-4093-b72d-cb53aa1ef2e0,[]
"https://yflix.me/wp-content/uploads/2025/04/1.jpg, https://yflix.me/wp-content/uploads/2025/04/2.jpg, https://yflix.me/wp-content/uploads/2025/04/3.jpg, https://yflix.me/wp-content/uploads/2025/04/1.jpg",ลูค ภีมสรรค์ โสตางกูร,,,,ภีมสรรค์ โสตางกูร,ลูค,15 มกราคม 2004,lukeso_,https://www.instagram.com/lukeso_/?utm_source=ig_embed&amp;ig_rid=effc3edc-7d38-4c25-bfb9-2fea045a896e,[]
"https://yflix.me/wp-content/uploads/2025/01/5.jpg, https://yflix.me/wp-content/uploads/2025/01/1.jpg, https://yflix.me/wp-content/uploads/2025/01/2.jpg, https://yflix.me/wp-content/uploads/2025/01/3.jpg, https://yflix.me/wp-content/uploads/2025/01/4.jpg, https://yflix.me/wp-content/uploads/2025/01/5.jpg",เบ้บ ธนทัต พรรณวิริยะกุล,,,"น้ำหนัก : 60 กก.
ส่วนสูง : 174 ซม.
การศึกษา : ระดับปริญญาตรีที่คณะนิเทศศาสตร์ สาขาวารสารศาสตร์ มหาวิทยาลัยกรุงเทพ
ผลงาน : THE SIGN ลางสังหรณ์ ในบท ธาร",ธนทัต พรรณวิริยะกุล,เบ้บ,5 ตุลาคม พ.ศ. 2541,,,"['https://yflix.me/series/interminable/', 'https://yflix.me/series/the-sign/']"
"https://yflix.me/wp-content/uploads/2024/12/5-2.jpg, https://yflix.me/wp-content/uploads/2024/12/1-2.jpg, https://yflix.me/wp-content/uploads/2024/12/2-2.jpg, https://yflix.me/wp-content/uploads/2024/12/3-2.jpg, https://yflix.me/wp-content/uploads/2024/12/4-2.jpg, https://yflix.me/wp-content/uploads/2024/12/5-2.jpg",โนอึล ณัฐรัชต์ ตังวาย,,,"น้ำหนัก : 57 กก.
ส่วนสูง : 177 ซม.
การศึกษา : คณะบริหารธุรกิจ มหาวิทยาลัยยอนเซ ประเทศเกาหลีใต้
ผลงาน : Love in the Air บรรยากาศรัก เดอะซีรีส์",ณัฐรัชต์ ตังวาย,โนอึล,28 พฤษภาคม พ.ศ.2542,noeullee_,https://www.instagram.com/noeullee_/,"['https://yflix.me/series/love-in-the-air/', 'https://yflix.me/series/the-boy-next-world/']"
"https://yflix.me/wp-content/uploads/2024/12/4-1.jpg, https://yflix.me/wp-content/uploads/2024/12/1-1.jpg, https://yflix.me/wp-content/uploads/2024/12/2-1.jpg, https://yflix.me/wp-content/uploads/2024/12/3-1.jpg, https://yflix.me/wp-content/uploads/2024/12/5-1.jpg, https://yflix.me/wp-content/uploads/2024/12/4-1.jpg",บอส ชัยกมล เสริมส่งวิทยะ,,,"ส่วนสูง : 182 ซม.
การศึกษา : ปริญญาตรีที่คณะนิเทศศาสตร์ สาขาโฆษณา มหาวิทยาลัยกรุงเทพ
ผลงาน : Love in the Air บรรยากาศรัก เดอะซีรีส์ รับบท พายุ",ชัยกมล เสริมส่งวิทยะ,บอส,6 กรกฎาคม 2543,boss.ckm,https://www.instagram.com/boss.ckm/,"['https://yflix.me/series/love-in-the-air/', 'https://yflix.me/series/the-boy-next-world/']"
"https://yflix.me/wp-content/uploads/2024/12/1.jpg, https://yflix.me/wp-content/uploads/2024/12/2.jpg, https://yflix.me/wp-content/uploads/2024/12/3.jpg, https://yflix.me/wp-content/uploads/2024/12/4.jpg, https://yflix.me/wp-content/uploads/2024/12/5.jpg, https://yflix.me/wp-content/uploads/2024/12/1.jpg",บอย ปกรณ์ ฉัตรบริรักษ์,,,"ส่วนสูง : 180 ซม.
การศึกษา : คณะเภสัชศาสตร์ จุฬาลงกรณ์มหาวิทยาลัย
ผลงานเด่น แก้ว – ไฟรักอสูร (2552)
วายุภัค (ลม) – 4 หัวใจแห่งขุนเขา ตอน วายุภัคมนตรา (2553)
อุปมา (มาร์ค) – รอยมาร (2554)
นายแพทย์ปฐวี (วี) – พรพรหมอลเวง (2556)
อาหลง – เลือดมังกร ตอน หงส์ (2558)
ทิม พิชยธร – กามเทพหรรษา (2560)
อัมพุ – เพลิงรักเพลิงแค้น (2562)
ชิดตะวัน – บาปอยุติธรรม (2564)
ธีรภัทร (ธีร์) – สายลับลิปกลอส (2565)",ปกรณ์ ฉัตรบริรักษ์,บอย,20 สิงหาคม พ.ศ. 2527,boy_pakorn,https://www.instagram.com/boy_pakorn/,['https://yflix.me/series/mandate-series/']
"https://yflix.me/wp-content/uploads/2024/11/4-4.jpg, https://yflix.me/wp-content/uploads/2024/11/1-4.jpg, https://yflix.me/wp-content/uploads/2024/11/2-4.jpg, https://yflix.me/wp-content/uploads/2024/11/3-4.jpg, https://yflix.me/wp-content/uploads/2024/11/5-4.jpg, https://yflix.me/wp-content/uploads/2024/11/4-4.jpg",ตุ้ย ชยธร ไตรรัตนประดิษฐ์,,,"น้ำหนัก : 65 กก.
ส่วนสูง : 175 ซม.
การศึกษา : มหาวิทยาลัยกรุงเทพ คณะนิเทศศาสตร์ สาขาบรอดแคสติง
ความสามารถพิเศษ : บีตบ็อกซ์, ร้องประสานเสียง, ตีกลอง",ชยธร ไตรรัตนประดิษฐ์,ตุ้ย,24 มีนาคม 2547,m.tuiiii,https://www.instagram.com/m.tuiiii,['https://yflix.me/series/thame-po/']
"https://yflix.me/wp-content/uploads/2024/11/3-3.jpg, https://yflix.me/wp-content/uploads/2024/11/1-3.jpg, https://yflix.me/wp-content/uploads/2024/11/2-3.jpg, https://yflix.me/wp-content/uploads/2024/11/4-3.jpg, https://yflix.me/wp-content/uploads/2024/11/5-3.jpg, https://yflix.me/wp-content/uploads/2024/11/3-3.jpg",ฮง พิเชฐพงศ์ จิรเดชสกุลวงศ์,,,"น้ำหนัก : 68 กก.
ส่วนสูง : 178 ซม.
การศึกษา : สถาบันนวัตกรรมบูรณาการแห่งจุฬาลงกรณ์มหาวิทยาลัย
ความสามารถพิเศษ : เล่นฟุตบอล ตำแหน่งปีกซ้าย",พิเชฐพงศ์ จิรเดชสกุลวงศ์,ฮง,16 ตุลาคม 2546,hongshihoshi,https://www.instagram.com/hongshihoshi,['https://yflix.me/series/thame-po/']
"https://yflix.me/wp-content/uploads/2024/11/2-2.jpg, https://yflix.me/wp-content/uploads/2024/11/1-2.jpg, https://yflix.me/wp-content/uploads/2024/11/3-2.jpg, https://yflix.me/wp-content/uploads/2024/11/4-2.jpg, https://yflix.me/wp-content/uploads/2024/11/5-2.jpg, https://yflix.me/wp-content/uploads/2024/11/2-2.jpg",นัท ธนัท ด่านเจษฎา,,,"น้ำหนัก : 68 กก.
ส่วนสูง : 178 ซม.
การศึกษา : คณะวิศวกรรมศาสตร์ จุฬาลงกรณ์มหาวิทยาลัย หลักสูตรนานาชาติ สาขาวิศวกรรมนาโน
ความสามารถพิเศษ : ขยับหูได้สองข้าง",ธนัท ด่านเจษฎา,นัท,20 เมษายน 2546,nnutdan,https://www.instagram.com/nnutdan,['https://yflix.me/series/thame-po/']
