title,date,castings,url_castings,trailer,synopsis,poster,coming_soon
Cranium ปริศนาซากมรณะ,2025,"ฟรีน สโรชา จันทร์กิมฮะ, เบ็คกี้ รีเบคก้า แพทรีเซีย อาร์มสตรอง","https://yflix.me/casting/freen-sarochar/, https://yflix.me/casting/becky/",https://www.youtube.com/embed/lgbQKzoliY4?si=T2gnP4Bq9NjkNW7I,เหตุการณ์เครื่องบินเช่าเหมาลำตกทำให้อดีตเพื่อนร่วมรุ่นปริญญาเอกที่ไม่ค่อยจะลงรอยกันอย่างภิญญาและบุษยาต้องกลับมาพบเจอกันอีกครั้งกับการทำงานด้านนิติมานุษยวิทยาเพื่อระบุอัตลักษณ์ของเหยื่อผู้เสียชีวิต หากแต่การพบกะโหลกปริศนาที่อยู่ไม่ถูกที่ถูกเวลายิ่งทำให้เรื่องราววุ่นวายมากขึ้น อีกทั้งครั้งนี้ความสัมพันธ์ของทั้งคู่ที่ในอดีตแทบมองหน้ากันไม่ติดกลับแปรเปลี่ยนไปเป็นความรู้สึกบางอย่างที่ยากจะอธิบาย ซีรีส์สายสืบสวนสอบสวน โดย ‘เบ็คกี้’ รับบท ‘บัว บุษยา‘ และ สาว ‘ฟรีน สโรชา’ รับบท ‘ภิญญา’ งานนี้แค่ไพลอตก็พาตื่นเต้นกับการฟาดฟันอารมณ์ แถมโปรดักชั่นจัดเต็ม งานนี้บอกเลยรักแรง เกลียดแรง แถมจัดเต็มฉากบู๊ เร็วๆ นี้ #CraniumGL #ปริศนาซากมรณะ #FreenBecky สังกัด : IDOLFACTORY เร็วๆ นี้,https://yflix.me/wp-content/uploads/2025/01/1-1.jpg,True
Interminable อสงไขย,2025,"บิลลี่ ภัทรชนน อ่อนสอาด, เบ้บ ธนทัต พรรณวิริยะกุล","https://yflix.me/casting/billy-patchanon/, https://yflix.me/casting/babe-tanatat/",https://www.youtube.com/embed/RtjOQ6b7rgs?si=5xnsFhj1TROwqNF9,รักแรกของคุณพระนาย เหตุฉไนถึงเป็นแบบนี้ แม้นแก้วตาคนนั้นจักเป็นชาย แต่เขาก็มอบหัวใจให้ไปเสียแล้ว ถ้าเรียกเขาว่าแม่หญิงอีกคำล่ะก็ เขาจะตีเสียให้หัวแบะ หากแล้วก็ต้องหวั่นไหวเพราะหัวใจมั่นดวงนั้น มั่นในรัก…แม้นเจ็บปวดก็ยังรัก สังกัด : IDOL FACTORY เร็วๆ นี้ #อสงไขย #interminableTH,https://yflix.me/wp-content/uploads/2025/01/GbLW7Q4akAQ-gcd.jpg,True
LOVE LIKE A BIKE ปั่นไปให้ถึงรัก,2025,,,,“LOVE LIKE A BIKE ปั่นไปให้ถึงรัก” เรื่องราวของ 3 หนุ่ม 3 สไตล์ 3 สัญชาติ ที่ถูกรับมาเลี้ยงเป็นพี่น้อง แต่รักกันอย่างเหนียวแน่นราวกับเป็นพี่น้องสายเลือดเดียวกัน “นับหนึ่ง” หนุ่มลูกครึ่งไทย-จีน จิตแพทย์หนุ่ม พี่ชายคนโต ผู้เป็นพ่อไมโครเวฟของทุกคนในบ้าน เขาพร้อมจะซัพพอร์ตทุกความฝันของน้องชายและคนรอบข้าง โดยเฉพาะคนไข้หนุ่ม “สายลม” ที่มีอาการป่วยอย่างประหลาด นั่นคือ ไม่สามารถให้ผู้ชายโดนตัวได้ “ทวิ” หนุ่มไทยแท้ กัปตันสายการบินพาณิชย์ หนุ่มสายชิลล์ บาริสต้าประจำบ้าน ผู้ครองตัวเป็นโสดและ…สด แต่แล้ววันหนึ่งเขาก็เกิดมี One Night Stand กับชายหนุ่มที่เขาไม่รู้จักชื่อ! “เติร์ด” หนุ่มลูกครึ่งไทย-สวิส อดีตนักเรียนนายร้อย ที่ถูกพิษรักทำร้ายหัวใจ เขาเลยเป็นคนไม่เชื่อในความรัก ผันตัวเป็นบาร์โฮสหนุ่มชื่อดัง ที่พร้อมมอบทุกความสุขให้กับทุกคน ยกเว้น “หัวใจ” นำแสดงโดย มาสุ จรรยางค์ดีกุล รับบท นับหนึ่ง ตี๋ ธนพล จารุจิตรานนท์ รับบท สายลม ต้า นันคุณ ภัคภัทรพรพบ นนท์ ณนนท์ เรืองเดช แดนนี่ ลูเซียโน่ วิน ธนัท วณัฐพงศ์ สังกัด : P.S. PERFORMANCE เร็วๆ นี้,https://yflix.me/wp-content/uploads/2025/01/GgnmyPKWQAAOAET.jpg,True
คมเดือน (MANDATE),2025,"เบน บัญญพนต์ ลิขิตอำนวยพร, บอย ปกรณ์ ฉัตรบริรักษ์","https://yflix.me/casting/ben-bunyapol/, https://yflix.me/casting/boy-pakorn/",,เวทีการต่อสู้ในวงการการเมืองสุดดุเดือด เข้มข้น คือจุดเริ่มต้นของความรักระหว่างคนสองคน ที่ต่างที่มา ต่างฐานะ..พบกับ บอย ปกรณ์ ฉัตรบริรักษ์และ เบน บัญญพนต์ ลิขิตอำนวยพร ใน ‘คมเดือน’ (MAN DATE) ซีรีส์วาย แนวดราม่า โรแมนติก ที่ไม่ควรพลาด! Synopsis : “หมอหน่อง” ลูกชายกํานันเป็นที่นับหน้าถือตาของคนในหมู่บ้าน เพราะเขามักจะ คอยช่วยเหลือชาวบ้านอยู่เสมอ จนเป็นที่รักและไว้ใจของทุกคน เพราะเหตุนี้หมอหน่อง จึงมักถูกทาบทามจากพรรคการเมืองให้เป็นหนึ่งในสมาชิกพรรค เพื่อชิงเก้าอี้ในพื้นที่อยู่เสมอ แม้กระทั้งผู้เป็นพ่อก็เคยออกปากชักชวน แต่หมอหน่องก็ปฏิเสธทุกครั้ง เพราะเขาแค่อยากจะทําหน้าที่ของตนให้ดีที่สุด ในฐานะหมอคนหนึ่งเท่านั้นเอง “วี” ลูกชายคนเล็กของหัวหน้าพรรคการเมืองใหญ่ วีเป็นคนเจ้าสําอาง เป็นนักเรียนนอก และก็เป็นอีกคนที่อยากได้หมอหน่องเข้ามาอยู่ในพรรค เพื่อพิสูจน์ให้พ่อเห็นความสามารถของตัวเอง วีจึงลงพื้นที่และพยายามหาวิธีเข้าใกล้หมอหน่องมากที่สุด ถึงหมอหน่องจะปฏิเสธ ข้อเสนอแค่ไหนแต่วีก็ไม่เคยท้อ ยังคงเดินหน้าตามตื้อหมอหน่องอย่างไม่ลดละความพยายาม จนเกิดเหตุการณ์ไม่คาดฝันขึ้นกับน้องสาวของหมอหน่องทําให้เขาตัดสินใจ ลงสมัครเล่นการเมือง และพรรคของวีคือพรรคที่หมอหน่องเลือกจะสังกัดโดยไม่รู้เลยว่า วีคือตัวการของความลับบางอย่างที่จะเปลี่ยนแปลงความตั้งใจของเขาไปตลอดชีวิต…… แต่นี่เป็นเพียงจุดเริ่มต้น…วงการการเมืองที่หมอหน่องต้องเข้าไปพัวพันอยู่ สังกัด : MONO Original เร็วๆ นี้ 2025 #คมเดือน #Mandate ติดตามความเคลื่อนไหว คมเดือน (MANDATE) จากเราได้ที่ https://yflix.me/series/mandate-series/ เร็วๆ นี้ 2025,https://yflix.me/wp-content/uploads/2024/12/Geqqj9ibsAEfzav.jpg,True
Reset การเกิดใหม่ของดวงดาว,2025,"ปอนด์ พลวิชญ์ เกตุประภากร, ปีเตอร์แพน ทัศน์พล วิวิธวรรธ์","https://yflix.me/casting/pond-ponlawit/, https://yflix.me/casting/peterpan-tassapon/",,“Reset การเกิดใหม่ของดวงดาว”💫จากนิยาย BL ยอดคนอ่านกว่า 8 ล้านวิว ของผู้เขียน Crystaljade สู่ตัวละครในซีรีส์ “อาร์มิน” และ “ธาดา” การเกิดใหม่ของเขาอีกครั้ง คือจุดเริ่มต้นเรื่องราวทั้งหมด #ResetTheSeries ติดตามความเคลื่อนไหว Reset การเกิดใหม่ของดวงดาว จากเราได้ที่ https://yflix.me/series/reset-the-series/ เร็วๆ นี้ 2025 ,https://yflix.me/wp-content/uploads/2024/12/GelZFDqbcAA5jiK.jpg,True
Burnout Syndrome ภาวะรักคนหมดไฟ,2024,"ดิว จิรวรรตน์ สุทธิวณิชศักดิ์, อรรถพันธ์ พูลสวัสดิ์, จุมพล อดุลกิตติพร","https://yflix.me/casting/%e0%b8%94%e0%b8%b4%e0%b8%a7-%e0%b8%88%e0%b8%b4%e0%b8%a3%e0%b8%a7%e0%b8%a3%e0%b8%a3%e0%b8%95%e0%b8%99%e0%b9%8c-%e0%b8%aa%e0%b8%b8%e0%b8%97%e0%b8%98%e0%b8%b4%e0%b8%a7%e0%b8%93%e0%b8%b4%e0%b8%8a%e0%b8%a8/, https://yflix.me/casting/%e0%b8%ad%e0%b8%a3%e0%b8%a3%e0%b8%96%e0%b8%9e%e0%b8%b1%e0%b8%99%e0%b8%98%e0%b9%8c-%e0%b8%9e%e0%b8%b9%e0%b8%a5%e0%b8%aa%e0%b8%a7%e0%b8%b1%e0%b8%aa%e0%b8%94%e0%b8%b4%e0%b9%8c/, https://yflix.me/casting/%e0%b8%88%e0%b8%b8%e0%b8%a1%e0%b8%9e%e0%b8%a5-%e0%b8%ad%e0%b8%94%e0%b8%b8%e0%b8%a5%e0%b8%81%e0%b8%b4%e0%b8%95%e0%b8%95%e0%b8%b4%e0%b8%9e%e0%b8%a3/",https://www.youtube.com/embed/6KS3zEehsyg?si=0JIAxRYMDek619aK,เมื่อคุณเข้าสู่ภาวะ Burnout Syndrome คุณจะทำอย่างไร หางานใหม่ หรือ หาคู่ใหม่ งานใหม่ที่มาพร้อมความวุ่นวาย ทั้งการงาน และ หัวใจ… สังกัด : GMMTV เร็วๆ นี้ 2025 #BurnoutSyndromeSeries,https://yflix.me/wp-content/uploads/2024/11/Burnout-Syndrome-ภาวะรักคนหมดไฟ.jpg,True
Dare You to Death ไขคดีเป็น เห็นคดีตาย,2024,"เดรก สัตบุตร แลดิกี, ดัง ณัฎฐ์ฐชัย บุญประเสริฐ, อาเชน วิธภากุล (จุง), โอม ฐิภากร ฐิตะฐาน, ซิง หฤษฎ์ ชีวการุณ, พร้อม ทีปกร ขวัญบุญ","https://yflix.me/casting/%e0%b9%80%e0%b8%94%e0%b8%a3%e0%b8%81-%e0%b8%aa%e0%b8%b1%e0%b8%95%e0%b8%9a%e0%b8%b8%e0%b8%95%e0%b8%a3-%e0%b9%81%e0%b8%a5%e0%b8%94%e0%b8%b4%e0%b8%81%e0%b8%b5/, https://yflix.me/casting/dunk-natachai/, https://yflix.me/casting/%e0%b8%ad%e0%b8%b2%e0%b9%80%e0%b8%8a%e0%b8%99-%e0%b8%a7%e0%b8%b4%e0%b8%98%e0%b8%a0%e0%b8%b2%e0%b8%81%e0%b8%b8%e0%b8%a5-%e0%b8%88%e0%b8%b8%e0%b8%87/, https://yflix.me/casting/%e0%b9%82%e0%b8%ad%e0%b8%a1-%e0%b8%90%e0%b8%b4%e0%b8%a0%e0%b8%b2%e0%b8%81%e0%b8%a3-%e0%b8%90%e0%b8%b4%e0%b8%95%e0%b8%b0%e0%b8%90%e0%b8%b2%e0%b8%99/, https://yflix.me/casting/%e0%b8%8b%e0%b8%b4%e0%b8%87-%e0%b8%ab%e0%b8%a4%e0%b8%a9%e0%b8%8e%e0%b9%8c-%e0%b8%8a%e0%b8%b5%e0%b8%a7%e0%b8%81%e0%b8%b2%e0%b8%a3%e0%b8%b8%e0%b8%93/, https://yflix.me/casting/%e0%b8%9e%e0%b8%a3%e0%b9%89%e0%b8%ad%e0%b8%a1-%e0%b8%97%e0%b8%b5%e0%b8%9b%e0%b8%81%e0%b8%a3-%e0%b8%82%e0%b8%a7%e0%b8%b1%e0%b8%8d%e0%b8%9a%e0%b8%b8%e0%b8%8d/",https://www.youtube.com/embed/FN8RA5hYImc?si=vtTbXSqAMx_1uMj3,เมื่อ ‘คามิน’ สารวัตรคนใหม่ของสถานีและผู้กองสุดห่ามอย่าง ‘เจษ’ต้องร่วมกันไขคดีปริศนาของเพื่อนรักทั้งแปดคนที่เกิดขึ้นหลังจากดื่มสังสรรค์และเล่นเกม TRUTH OR DAREเกมที่ควรสนุก กลับน่าสะพรึงเมื่อมีคนตายหลังอากเล่นเกมจากแปดในช่วงกลางคืน กลับเหลือเพียงเจ็ดในเข้าวันถัดมาแทนที่เคมจะอบลงในคืนนั้น มันกลับยังด่าเนินต่อไปโดยมีชีวิตทุกคนเป็นหมากในเกมมีปริศนามากมายชวนให้คิดไม่ตกและพวกเขาต้องรีบหาคำตอบก่อนที่ทุกอย่างจะสายเกินไป สังกัด : GMMTV เร็วๆ นี้ 2025 #DareYouToDeath,https://yflix.me/wp-content/uploads/2024/11/Dare-You-to-Death-ไขคดีเป็น-เห็นคดีตาย.jpg,True
Knock Out หมัดน็อกล็อกหัวใจ,2025,,,,สังเวียนความรักที่มีหัวใจเป็นเดิมพัน ใครจะชนะไปในเกมนี้? สังกัด : Dee Hup House Production ออกอากาศทุกวันศุกร์ เวลา 19.30น. ทาง WeTV เท่านั้น #หมัดน็อกล็อกหัวใจ,https://yflix.me/wp-content/uploads/2024/11/GpDR0X6aEAAEhLo.jpg,False
ตะวันระฟ้า My Only Sunshine The Series,2024,,,,ดุจตะวันทอแสง เปล่งประกายระฟ้า…โดดเด่นในดวนใจเพียงหนึ่งเดียว… นำแสดงโดย อะตอม รับบท ระฟ้า เมอซีเดส รับบท ตะวัน แพม รับบท มาหยา พีช รับบท เดวี่ เจนนี่ รับบท เฟย์ ซีนโฮ รับบท หมูแฮม ปิ่น รับบท ไอริน ส้ม รับบท ณัฐชา สังกัด : Star Hunter Entertainment เร็วๆ นี้ 2025,https://yflix.me/wp-content/uploads/2024/11/ปกซีรีส์.jpg,True
My Sweet Heart Jom (หวานใจผู้ใหญ่จอม),2025,,,,เรื่องราวของหนุ่มเจ้าชู้ ที่สร้างเรื่องวุ่นวาย จนพ่อต้องส่งไปดัดนิสัยไกลถึงบ้านนอก งานนี้ นอกจากจะต้องปรับปรุงตัวแล้ว หนุ่มแสบคนนี้ จะเผลอใจ ตกหลุมรักใครเข้าบ้างหรือเปล่า? ซีรีส์ My Sweet Heart Jom ดัดแปลงจากนิยายชื่อเดียวกันของ Naoto มีกำหนดออกอากาศในปี 2025 นำแสดงโดย เซ้นต์ ศุภพงษ์ ภูม ณัฐภาสน์ ออกอากาศทุกคืนวันศุกร์ เวลา 21.30 น. ทางช่อง Workpoint หมายเลข 23 รับชมย้อนหลังแบบ UNCUT ได้ทาง Youtube : IDOLFACTORY OFFICIAL เริ่ม 16 พฤษภาคม 2025,https://yflix.me/wp-content/uploads/2024/10/GoAFoaIbwAIVVwP.jpg,False
